Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1300 ± 42,345 ± 25,344000 ± 21000,103400 ± 6400,81300 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1350000 ± 86000,0 ± 0.0E+0,1.00E+0 ± 0,154 ± 42,60 ± 25,344000 ± 21000,103200 ± 6400,80700 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1348000 ± 86000,3.37 ± 0.43,154 ± 42,60 ± 25,344000 ± 21000,103200 ± 6400,80700 ± 5900,227000 ± 20000,589000 ± 38000,4270 ± 270,1348000 ± 86000,0.607 ± 0.024,2988 ± 73,25.15 ± 0.98,3275 ± 30,0.411 ± 0.030,6620 ± 300,0.303 ± 0.012,1669 ± 45,12.57 ± 0.49,2611 ± 29,0.205 ± 0.015,3600 ± 170,0.3000 ± 0.0011,3468.8 ± 5.7,0.719 ± 0.028,3415 ± 81,29.5 ± 1.2,3432 ± 31,0 ± 0.0E+0,0 ± 0.0E+0,0.2975 ± 0.0011,3456.3 ± 5.7,1.451 ± 0.046,-0.000101 ± 0.000013,132.9 ± 8.5,144 ± 13,1,0.0119132,
,,-,,,,,,,1319 ± 60,314 ± 21,3063 ± 68,361 ± 12,1147 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,506000 ± 17000,0 ± 0.0E+0,1.00E+0 ± 0,172 ± 60,29 ± 21,2731 ± 68,119 ± 12,541 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,503000 ± 17000,3.70 ± 0.34,172 ± 60,29 ± 21,2731 ± 68,119 ± 12,541 ± 55,116300 ± 7600,379000 ± 16000,2750 ± 120,503000 ± 17000,0.00742 ± 0.00031,47.6 ± 2.0,0.0444 ± 0.0049,43.8 ± 4.7,0.00521 ± 0.00066,105 ± 13,0.00371 ± 0.00015,23.86 ± 0.99,0.0222 ± 0.0024,22.2 ± 2.4,0.00261 ± 0.00033,52.6 ± 6.7,0.0435 ± 0.0046,670 ± 140,0.00876 ± 0.00037,56.2 ± 2.3,0.0519 ± 0.0057,51.0 ± 5.5,0 ± 0.0E+0,0 ± 0.0E+0,0.0431 ± 0.0045,670 ± 140,118.3 ± 5.0,-0.000131 ± 0.000012,85.7 ± 3.6,73.6 ± 4.8,0.460711,0.0414959,
,,-,,,,,,,1322 ± 47,355 ± 23,58000 ± 2000,4530 ± 160,6770 ± 250,55200 ± 5300,363000 ± 19000,2630 ± 140,495000 ± 25000,0 ± 0.0E+0,1.00E+0 ± 0,173 ± 47,68 ± 23,57700 ± 2000,4290 ± 160,6160 ± 250,55200 ± 5300,363000 ± 19000,2630 ± 140,492000 ± 25000,-70000000 ± 140000000,173 ± 47,68 ± 23,57700 ± 2000,4290 ± 160,6160 ± 250,55200 ± 5300,363000 ± 19000,2630 ± 140,492000 ± 25000,0.1613 ± 0.0054,962 ± 30,1.658 ± 0.058,987 ± 22,-1000000 ± 1900000,2560 ± 230,0.0807 ± 0.0027,499 ± 16,0.829 ± 0.029,611 ± 16,-490000 ± 960000,1330 ± 130,0.07470 ± 0.00076,1055 ± 20,0.1899 ± 0.0063,1118 ± 34,1.935 ± 0.067,1087 ± 23,0 ± 0.0E+0,0 ± 0.0E+0,0.07411 ± 0.00075,1039 ± 20,5.40 ± 0.17,3000 ± 6000,82.2 ± 4.4,34.8 ± 3.3,0.962634,0.0554654,
,,-,,,,,,,1377 ± 60,338 ± 28,3740 ± 140,403 ± 15,1081 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,573000 ± 32000,0 ± 0.0E+0,1.00E+0 ± 0,227 ± 60,51 ± 28,3410 ± 140,156 ± 15,465 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,571000 ± 32000,5.58 ± 0.46,227 ± 60,51 ± 28,3410 ± 140,156 ± 15,465 ± 57,92500 ± 7000,470000 ± 28000,3410 ± 210,571000 ± 32000,0.00758 ± 0.00034,48.7 ± 2.2,0.0472 ± 0.0048,46.5 ± 4.6,0.00507 ± 0.00071,102 ± 14,0.00379 ± 0.00017,24.4 ± 1.1,0.0236 ± 0.0024,23.6 ± 2.4,0.00253 ± 0.00035,51.1 ± 7.1,0.0452 ± 0.0041,770 ± 130,0.00889 ± 0.00040,57.1 ± 2.5,0.0548 ± 0.0055,53.8 ± 5.3,0 ± 0.0E+0,0 ± 0.0E+0,0.0448 ± 0.0040,750 ± 130,117.9 ± 5.3,-0.000478 ± 0.000041,106.6 ± 6.5,58.1 ± 4.4,0.350257,-0.00689535,
,,-,,,,,,,1372 ± 58,341 ± 25,167800 ± 7000,15360 ± 640,24940 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1182000 ± 55000,0 ± 0.0E+0,1.00E+0 ± 0,218 ± 58,53 ± 25,167500 ± 7000,15110 ± 640,24310 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1179000 ± 55000,5.36 ± 0.41,218 ± 58,53 ± 25,167500 ± 7000,15110 ± 640,24310 ± 770,164000 ± 11000,800000 ± 45000,5810 ± 320,1179000 ± 55000,0.2154 ± 0.0057,1255 ± 30,2.678 ± 0.072,1317 ± 20,0.1582 ± 0.0091,2980 ± 160,0.1077 ± 0.0029,659 ± 17,1.339 ± 0.036,859 ± 15,0.0791 ± 0.0045,1533 ± 84,0.09022 ± 0.00055,1428 ± 12,0.2508 ± 0.0066,1440 ± 34,3.092 ± 0.083,1425 ± 20,0 ± 0.0E+0,0 ± 0.0E+0,0.08952 ± 0.00055,1413 ± 12,4.07 ± 0.11,0.000383 ± 0.000027,182 ± 10,102.8 ± 6.7,0.973228,0.0927184,
,,-,,,,,,,1298 ± 48,309 ± 25,38600 ± 2100,2370 ± 120,7640 ± 390,180000 ± 12000,701000 ± 47000,5080 ± 340,936000 ± 58000,0 ± 0.0E+0,1.00E+0 ± 0,143 ± 48,21 ± 25,38300 ± 2100,2110 ± 120,7010 ± 390,180000 ± 12000,701000 ± 47000,5080 ± 340,933000 ± 58000,4.05 ± 0.24,143 ± 48,21 ± 25,38300 ± 2100,2110 ± 120,7010 ± 390,180000 ± 12000,701000 ± 47000,5080 ± 340,933000 ± 58000,0.0562 ± 0.0016,352.5 ± 9.9,0.434 ± 0.015,364 ± 10,0.0415 ± 0.0023,806 ± 40,0.02812 ± 0.00081,178.7 ± 5.1,0.2171 ± 0.0075,198.8 ± 6.2,0.0208 ± 0.0012,408 ± 21,0.05528 ± 0.00084,432 ± 33,0.0653 ± 0.0019,407 ± 11,0.499 ± 0.017,409 ± 11,0 ± 0.0E+0,0 ± 0.0E+0,0.05485 ± 0.00083,421 ± 32,15.52 ± 0.49,0.0001444 ± 0.0000084,160 ± 11,112.6 ± 7.3,0.911838,-0.00596363,
,,-,,,,,,,1322 ± 54,359 ± 28,487000 ± 19000,65100 ± 2900,87700 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4370000 ± 130000,0 ± 0.0E+0,1.00E+0 ± 0,166 ± 54,70 ± 28,486000 ± 19000,64800 ± 2900,87000 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4360000 ± 130000,4.09 ± 0.14,166 ± 54,70 ± 28,486000 ± 19000,64800 ± 2900,87000 ± 3800,735000 ± 23000,2970000 ± 97000,21540 ± 700,4360000 ± 130000,0.1632 ± 0.0031,974 ± 17,2.984 ± 0.076,1401 ± 19,0.1189 ± 0.0050,2265 ± 89,0.0816 ± 0.0016,505.5 ± 9.3,1.492 ± 0.038,926 ± 15,0.0595 ± 0.0025,1166 ± 47,0.1322 ± 0.0012,2126 ± 16,0.1887 ± 0.0036,1113 ± 19,3.421 ± 0.087,1506 ± 20,0 ± 0.0E+0,0 ± 0.0E+0,0.1312 ± 0.0011,2113 ± 16,5.34 ± 0.10,0.0001004 ± 0.0000033,680 ± 22,459 ± 14,0.949613,-0.490742,
,,-,,,,,,,1315 ± 57,322 ± 25,344400 ± 6700,103800 ± 2000,74300 ± 1500,209000 ± 12000,557000 ± 21000,4040 ± 150,1296000 ± 31000,0 ± 0.0E+0,1.00E+0 ± 0,157 ± 57,32 ± 25,344000 ± 6700,103600 ± 2000,73600 ± 1500,209000 ± 12000,557000 ± 21000,4040 ± 150,1294000 ± 31000,2.79 ± 0.18,157 ± 57,32 ± 25,344000 ± 6700,103600 ± 2000,73600 ± 1500,209000 ± 12000,557000 ± 21000,4040 ± 150,1294000 ± 31000,0.624 ± 0.019,3117 ± 73,25.90 ± 0.78,3338 ± 31,0.366 ± 0.021,6250 ± 300,0.3121 ± 0.0093,1747 ± 45,12.95 ± 0.39,2667 ± 28,0.183 ± 0.010,3380 ± 170,0.3010 ± 0.0013,3474.4 ± 6.6,0.719 ± 0.021,3480 ± 80,29.58 ± 0.89,3468 ± 31,0 ± 0.0E+0,0 ± 0.0E+0,0.2987 ± 0.0013,3462.6 ± 6.6,1.400 ± 0.043,0.0000562 ± 0.0000036,128.2 ± 4.8,130.4 ± 7.3,0.993639,-0.109131,
,,-,,,,,,,1344 ± 48,320 ± 24,136600 ± 3700,7500 ± 200,4630 ± 130,127400 ± 7700,3075000 ± 98000,22310 ± 710,3380000 ± 100000,0 ± 0.0E+0,1.00E+0 ± 0,185 ± 48,29 ± 24,136300 ± 3700,7240 ± 200,3980 ± 130,127400 ± 7700,3075000 ± 98000,22310 ± 710,3370000 ± 100000,27.1 ± 2.3,185 ± 48,29 ± 24,136300 ± 3700,7240 ± 200,3980 ± 130,127400 ± 7700,3075000 ± 98000,22310 ± 710,3370000 ± 100000,0.04478 ± 0.00071,282.3 ± 4.4,0.3276 ± 0.0057,288.0 ± 4.4,0.0352 ± 0.0030,656 ± 43,0.02239 ± 0.00035,142.7 ± 2.2,0.1638 ± 0.0028,153.9 ± 2.5,0.0176 ± 0.0015,327 ± 21,0.05321 ± 0.00045,333 ± 19,0.05136 ± 0.00081,322.8 ± 5.0,0.3728 ± 0.0065,322.0 ± 4.9,0 ± 0.0E+0,0 ± 0.0E+0,0.05281 ± 0.00045,316 ± 19,19.64 ± 0.31,0.000519 ± 0.000044,710 ± 23,79.8 ± 4.8,0.878016,0.0292241,
,,-,,,,,,,1325 ± 51,313 ± 23,44800 ± 1400,3590 ± 110,5180 ± 170,49400 ± 5200,278000 ± 16000,2010 ± 110,384000 ± 19000,0 ± 0.0E+0,1.00E+0 ± 0,164 ± 51,21 ± 23,44400 ± 1400,3330 ± 110,4530 ± 170,49400 ± 5200,278000 ± 16000,2010 ± 110,381000 ± 19000,-900000000 ± 740000000,164 ± 51,21 ± 23,44400 ± 1400,3330 ± 110,4530 ± 170,49400 ± 5200,278000 ± 16000,2010 ± 110,381000 ± 19000,0.1667 ± 0.0070,990 ± 39,1.747 ± 0.080,1012 ± 29,-8100000 ± 9400000,2110 ± 220,0.0833 ± 0.0035,515 ± 21,0.873 ± 0.040,630 ± 21,-4100000 ± 4700000,1070 ± 110,0.07524 ± 0.00090,1071 ± 25,0.1905 ± 0.0081,1119 ± 43,1.980 ± 0.091,1093 ± 30,0 ± 0.0E+0,0 ± 0.0E+0,0.07467 ± 0.00089,1055 ± 25,5.50 ± 0.25,-19000 ± 16000,64.4 ± 3.7,31.0 ± 3.3,0.971009,-0.039768,
,,-,,,,,,,1313 ± 58,322 ± 34,2494 ± 63,351 ± 13,870 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,339000 ± 17000,0 ± 0.0E+0,1.00E+0 ± 0,151 ± 58,30 ± 34,2134 ± 63,87 ± 13,213 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,336000 ± 17000,-610000000 ± 850000000,151 ± 58,30 ± 34,2134 ± 63,87 ± 13,213 ± 55,43000 ± 5600,288000 ± 16000,2090 ± 120,336000 ± 17000,0.00780 ± 0.00046,50.1 ± 3.0,0.0442 ± 0.0073,43.3 ± 7.1,-430000 ± 860000,127 ± 40,0.00390 ± 0.00023,25.1 ± 1.5,0.0221 ± 0.0036,22.0 ± 3.6,-210000 ± 430000,64 ± 20,0.0419 ± 0.0065,870 ± 170,0.00888 ± 0.00053,56.9 ± 3.4,0.0499 ± 0.0082,48.7 ± 8.0,0 ± 0.0E+0,0 ± 0.0E+0,0.0416 ± 0.0065,880 ± 170,119.0 ± 6.9,-19000 ± 27000,67.1 ± 3.8,27.0 ± 3.5,-0.0175516,0.215618,
,,-,,,,,,,1342 ± 49,334 ± 21,66000 ± 3800,6250 ± 340,28540 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,591000 ± 30000,0 ± 0.0E+0,1.00E+0 ± 0,176 ± 49,41 ± 21,65600 ± 3800,5980 ± 340,27870 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,588000 ± 30000,1.60 ± 0.15,176 ± 49,41 ± 21,65600 ± 3800,5980 ± 340,27870 ± 710,196000 ± 12000,290000 ± 23000,2110 ± 170,588000 ± 30000,0.2406 ± 0.0098,1383 ± 50,3.05 ± 0.14,1403 ± 32,0.1530 ± 0.0085,2860 ± 150,0.1203 ± 0.0049,730 ± 28,1.526 ± 0.068,930 ± 26,0.0765 ± 0.0042,1485 ± 79,0.09120 ± 0.00081,1447 ± 17,0.272 ± 0.011,1541 ± 55,3.42 ± 0.15,1490 ± 33,0 ± 0.0E+0,0 ± 0.0E+0,0.09052 ± 0.00080,1432 ± 17,3.82 ± 0.16,-0.0000360 ± 0.0000029,68.4 ± 5.5,123.9 ± 7.3,0.985934,-0.0659303,
,,-,,,,,,,1358 ± 58,342 ± 24,65500 ± 2000,3850 ± 120,10320 ± 280,229000 ± 13000,1087000 ± 55000,7880 ± 400,1404000 ± 65000,0 ± 0.0E+0,1.00E+0 ± 0,192 ± 58,48 ± 24,65200 ± 2000,3580 ± 120,9650 ± 280,229000 ± 13000,1087000 ± 55000,7880 ± 400,1401000 ± 65000,4.88 ± 0.26,192 ± 58,48 ± 24,65200 ± 2000,3580 ± 120,9650 ± 280,229000 ± 13000,1087000 ± 55000,7880 ± 400,1401000 ± 65000,0.0606 ± 0.0016,378.7 ± 9.9,0.463 ± 0.013,385.1 ± 9.1,0.0436 ± 0.0022,862 ± 42,0.03028 ± 0.00082,192.2 ± 5.1,0.2316 ± 0.0066,211.0 ± 5.4,0.0218 ± 0.0011,436 ± 22,0.05557 ± 0.00068,434 ± 27,0.0681 ± 0.0018,424 ± 11,0.517 ± 0.015,421.6 ± 9.9,0 ± 0.0E+0,0 ± 0.0E+0,0.05516 ± 0.00068,417 ± 27,15.00 ± 0.40,-0.0000487 ± 0.0000024,257 ± 13,145.2 ± 8.0,0.890569,0.0295849,
,,-,,,,,,,1387 ± 51,359 ± 25,253100 ± 8600,42500 ± 1400,79200 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1292000 ± 44000,0 ± 0.0E+0,1.00E+0 ± 0,219 ± 51,65 ± 25,252800 ± 8600,42200 ± 1400,78500 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1289000 ± 44000,2.24 ± 0.16,219 ± 51,65 ± 25,252800 ± 8600,42200 ± 1400,78500 ± 2100,291000 ± 14000,616000 ± 30000,4470 ± 220,1289000 ± 44000,0.424 ± 0.013,2271 ± 56,9.77 ± 0.29,2402 ± 27,0.278 ± 0.011,4940 ± 180,0.2120 ± 0.0063,1237 ± 33,4.88 ± 0.15,1790 ± 25,0.1392 ± 0.0057,2630 ± 100,0.16694 ± 0.00072,2525.9 ± 7.3,0.475 ± 0.014,2497 ± 61,10.86 ± 0.33,2500 ± 27,0 ± 0.0E+0,0 ± 0.0E+0,0.16571 ± 0.00072,2513.4 ± 7.3,2.159 ± 0.060,-0.00001322 ± 0.00000085,146.7 ± 7.3,184.7 ± 8.9,0.988775,-0.0286936,
,,-,,,,,,,1332 ± 47,325 ± 22,400000 ± 31000,120400 ± 9400,59200 ± 4100,164000 ± 14000,627000 ± 58000,4550 ± 420,1380000 ± 110000,0 ± 0.0E+0,1.00E+0 ± 0,162 ± 47,30 ± 22,400000 ± 31000,120100 ± 9400,58500 ± 4100,164000 ± 14000,627000 ± 58000,4550 ± 420,1380000 ± 110000,4.07 ± 0.31,162 ± 47,30 ± 22,400000 ± 31000,120100 ± 9400,58500 ± 4100,164000 ± 14000,627000 ± 58000,4550 ± 420,1380000 ± 110000,0.671 ± 0.022,3290 ± 83,27.74 ± 0.91,3397 ± 33,0.390 ± 0.026,6540 ± 360,0.335 ± 0.011,1857 ± 52,13.87 ± 0.45,2729 ± 32,0.195 ± 0.013,3560 ± 210,0.3003 ± 0.0012,3470.5 ± 5.9,0.748 ± 0.024,3580 ± 89,30.7 ± 1.0,3497 ± 33,0 ± 0.0E+0,0 ± 0.0E+0,0.2981 ± 0.0011,3459.0 ± 5.9,1.375 ± 0.044,-0.0000165 ± 0.0000012,150 ± 14,104.3 ± 8.8,0.992626,0.00575366,
,,-,,,,,,,1338 ± 62,349 ± 33,663000 ± 50000,60700 ± 4500,106200 ± 9400,729000 ± 79000,3210000 ± 250000,23300 ± 1800,4790000 ± 290000,0 ± 0.0E+0,1.00E+0 ± 0,166 ± 62,54 ± 33,662000 ± 50000,60400 ± 4500,105500 ± 9400,729000 ± 79000,3210000 ± 250000,23300 ± 1800,4790000 ± 290000,6.05 ± 0.84,166 ± 62,54 ± 33,662000 ± 50000,60400 ± 4500,105500 ± 9400,729000 ± 79000,3210000 ± 250000,23300 ± 1800,4790000 ± 290000,0.2084 ± 0.0038,1220 ± 20,2.623 ± 0.047,1305 ± 13,0.1523 ± 0.0061,2860 ± 110,0.1042 ± 0.0019,639 ± 11,1.311 ± 0.023,849 ± 10,0.0762 ± 0.0031,1482 ± 57,0.09136 ± 0.00037,1452.9 ± 7.7,0.2316 ± 0.0043,1342 ± 22,2.893 ± 0.051,1378 ± 13,0 ± 0.0E+0,0 ± 0.0E+0,0.09069 ± 0.00037,1438.8 ± 7.7,4.353 ± 0.078,-0.0000182 ± 0.0000025,774 ± 61,466 ± 50,0.968882,0.207337,
,,-,,,,,,,1317 ± 59,324 ± 30,36500 ± 1000,2963 ± 87,4290 ± 160,32600 ± 5300,226000 ± 14000,1640 ± 100,308000 ± 18000,0 ± 0.0E+0,1.00E+0 ± 0,145 ± 59,28 ± 30,36100 ± 1000,2686 ± 87,3600 ± 160,32600 ± 5300,226000 ± 14000,1640 ± 100,305000 ± 18000,-4700000000 ± 2100000000,145 ± 59,28 ± 30,36100 ± 1000,2686 ± 87,3600 ± 160,32600 ± 5300,226000 ± 14000,1640 ± 100,305000 ± 18000,0.1673 ± 0.0086,994 ± 47,1.719 ± 0.096,1002 ± 35,-72000000 ± 32000000,2260 ± 280,0.0837 ± 0.0043,517 ± 25,0.859 ± 0.048,622 ± 26,-36000000 ± 16000000,1170 ± 150,0.0744 ± 0.0013,1041 ± 37,0.1852 ± 0.0095,1091 ± 51,1.89 ± 0.11,1063 ± 36,0 ± 0.0E+0,0 ± 0.0E+0,0.0738 ± 0.0013,1026 ± 37,5.68 ± 0.29,11100 ± 5000,54.9 ± 3.4,20.9 ± 3.4,0.959574,-0.0850654,
,,-,,,,,,,1328 ± 58,330 ± 26,5110 ± 110,502 ± 20,1089 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,710000 ± 27000,0 ± 0.0E+0,1.00E+0 ± 0,154 ± 58,33 ± 26,4730 ± 110,222 ± 20,389 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,707000 ± 27000,12.8 ± 2.1,154 ± 58,33 ± 26,4730 ± 110,222 ± 20,389 ± 45,68600 ± 7500,628000 ± 26000,4560 ± 190,707000 ± 27000,0.00774 ± 0.00029,49.7 ± 1.9,0.0497 ± 0.0046,49.1 ± 4.4,0.0078 ± 0.0015,145 ± 25,0.00387 ± 0.00014,24.91 ± 0.93,0.0249 ± 0.0023,24.9 ± 2.3,0.00392 ± 0.00075,73 ± 12,0.0470 ± 0.0043,620 ± 120,0.00853 ± 0.00032,54.8 ± 2.0,0.0544 ± 0.0050,53.6 ± 4.8,0 ± 0.0E+0,0 ± 0.0E+0,0.0466 ± 0.0042,620 ± 120,119.5 ± 4.2,-0.0000246 ± 0.0000041,153.4 ± 6.2,44.1 ± 4.8,0.295155,0.0995604,
,,-,,,,,,,1346 ± 59,339 ± 27,145400 ± 3700,13420 ± 350,30900 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1080000 ± 37000,0 ± 0.0E+0,1.00E+0 ± 0,169 ± 59,41 ± 27,145000 ± 3700,13140 ± 350,30190 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1078000 ± 37000,3.29 ± 0.18,169 ± 59,41 ± 27,145000 ± 3700,13140 ± 350,30190 ± 970,212000 ± 12000,670000 ± 26000,4860 ± 190,1078000 ± 37000,0.2218 ± 0.0068,1289 ± 35,2.769 ± 0.086,1340 ± 23,0.1492 ± 0.0085,2800 ± 150,0.1109 ± 0.0034,677 ± 20,1.384 ± 0.043,878 ± 18,0.0746 ± 0.0042,1451 ± 79,0.09060 ± 0.00070,1435 ± 15,0.2424 ± 0.0074,1396 ± 38,3.007 ± 0.094,1402 ± 23,0 ± 0.0E+0,0 ± 0.0E+0,0.08994 ± 0.00069,1422 ± 15,4.22 ± 0.12,-0.00000461 ± 0.00000026,165.7 ± 6.5,137.4 ± 7.9,0.96838,0.0447229,
,,-,,,,,,,1400 ± 57,332 ± 24,68600 ± 2400,4060 ± 140,11410 ± 370,239000 ± 16000,1131000 ± 57000,8200 ± 410,1465000 ± 69000,0 ± 0.0E+0,1.00E+0 ± 0,221 ± 57,34 ± 24,68200 ± 2400,3770 ± 140,10690 ± 370,239000 ± 16000,1131000 ± 57000,8200 ± 410,1462000 ± 69000,5.07 ± 0.33,221 ± 57,34 ± 24,68200 ± 2400,3770 ± 140,10690 ± 370,239000 ± 16000,1131000 ± 57000,8200 ± 410,1462000 ± 69000,0.0616 ± 0.0016,385.1 ± 9.5,0.470 ± 0.013,391.4 ± 9.0,0.0478 ± 0.0027,943 ± 53,0.03079 ± 0.00079,195.5 ± 4.9,0.2349 ± 0.0063,213.9 ± 5.2,0.0239 ± 0.0014,477 ± 27,0.05532 ± 0.00067,423 ± 26,0.0671 ± 0.0017,418 ± 10,0.508 ± 0.014,417.6 ± 9.5,0 ± 0.0E+0,0 ± 0.0E+0,0.05493 ± 0.00067,406 ± 26,15.11 ± 0.39,-0.00000627 ± 0.00000041,282 ± 14,156 ± 10,0.89372,0.119502,
,,-,,,,,,,1429 ± 55,344 ± 26,460000 ± 20000,76700 ± 3300,77700 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1943000 ± 96000,0 ± 0.0E+0,1.00E+0 ± 0,249 ± 55,45 ± 26,459000 ± 20000,76400 ± 3300,77000 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1940000 ± 96000,3.82 ± 0.24,249 ± 55,45 ± 26,459000 ± 20000,76400 ± 3300,77000 ± 3100,284000 ± 16000,1033000 ± 60000,7430 ± 420,1940000 ± 96000,0.455 ± 0.012,2411 ± 51,10.43 ± 0.27,2466 ± 23,0.281 ± 0.013,5010 ± 210,0.2275 ± 0.0059,1319 ± 31,5.22 ± 0.13,1848 ± 21,0.1406 ± 0.0065,2670 ± 120,0.16656 ± 0.00064,2522.2 ± 6.4,0.493 ± 0.013,2579 ± 54,11.25 ± 0.29,2535 ± 23,0 ± 0.0E+0,0 ± 0.0E+0,0.16537 ± 0.00063,2510.1 ± 6.4,2.059 ± 0.052,-0.00000424 ± 0.00000026,259 ± 15,185 ± 11,0.989453,0.033154,
